iter	Passed	Remaining
0	10	5472
1	21	5296
2	31	5219
3	42	5220
4	52	5170
5	62	5158
6	72	5081
7	82	5057
8	92	5061
9	103	5069
10	112	5010
11	123	5012
12	133	4988
13	144	5025
14	156	5045
15	167	5053
16	177	5043
17	187	5023
18	198	5018
19	208	5012
20	219	5009
21	229	4986
22	240	4981
23	251	4982
24	262	4993
25	273	4982
26	283	4963
27	293	4952
28	304	4943
29	315	4936
30	325	4929
31	336	4916
32	346	4910
33	357	4899
34	368	4890
35	378	4877
36	388	4867
37	400	4871
38	410	4857
39	421	4850
40	432	4842
41	443	4833
42	452	4807
43	463	4798
44	473	4788
45	484	4778
46	494	4763
47	504	4754
48	514	4735
49	525	4729
50	536	4719
51	546	4711
52	557	4699
53	567	4686
54	578	4682
55	589	4675
56	599	4656
57	609	4641
58	619	4627
59	629	4615
60	640	4607
61	652	4607
62	663	4600
63	673	4586
64	684	4580
65	695	4570
66	705	4557
67	715	4547
68	725	4534
69	739	4539
70	751	4538
71	761	4528
72	771	4514
73	782	4502
74	792	4490
75	803	4481
76	813	4469
77	822	4450
78	832	4438
79	843	4428
80	853	4417
81	864	4407
82	874	4394
83	885	4386
84	896	4377
85	906	4364
86	916	4352
87	928	4345
88	938	4333
89	950	4328
90	962	4323
91	984	4364
92	1023	4480
93	1039	4488
94	1049	4475
95	1059	4459
96	1070	4449
97	1080	4434
98	1091	4422
99	1103	4414
100	1114	4404
101	1124	4385
102	1134	4372
103	1145	4361
104	1156	4350
105	1165	4333
106	1175	4318
107	1186	4304
108	1196	4290
109	1207	4280
110	1217	4268
111	1228	4254
112	1239	4245
113	1249	4231
114	1260	4219
115	1271	4210
116	1282	4199
117	1293	4186
118	1303	4174
119	1313	4160
120	1324	4148
121	1334	4135
122	1346	4126
123	1357	4117
124	1367	4103
125	1377	4089
126	1387	4076
127	1398	4063
128	1409	4053
129	1419	4039
130	1429	4027
131	1440	4015
132	1450	4002
133	1461	3991
134	1471	3977
135	1480	3963
136	1490	3950
137	1501	3937
138	1511	3925
139	1520	3910
140	1531	3898
141	1542	3889
142	1553	3878
143	1564	3866
144	1576	3859
145	1586	3847
146	1597	3837
147	1608	3825
148	1618	3811
149	1628	3799
150	1638	3785
151	1648	3774
152	1657	3759
153	1667	3747
154	1678	3735
155	1688	3723
156	1698	3710
157	1708	3697
158	1718	3686
159	1729	3674
160	1739	3661
161	1749	3649
162	1759	3637
163	1769	3626
164	1780	3614
165	1790	3603
166	1801	3592
167	1811	3580
168	1822	3568
169	1832	3557
170	1842	3544
171	1851	3531
172	1861	3517
173	1871	3505
174	1881	3494
175	1892	3484
176	1905	3477
177	1915	3465
178	1926	3453
179	1936	3442
180	1946	3431
181	1956	3418
182	1965	3404
183	1975	3393
184	1986	3382
185	1997	3371
186	2007	3360
187	2018	3349
188	2028	3338
189	2038	3326
190	2049	3315
191	2058	3302
192	2068	3291
193	2079	3280
194	2089	3268
195	2100	3257
196	2110	3246
197	2121	3236
198	2131	3224
199	2141	3212
200	2152	3202
201	2163	3192
202	2174	3181
203	2184	3169
204	2196	3160
205	2206	3148
206	2216	3137
207	2227	3126
208	2237	3115
209	2248	3104
210	2258	3093
211	2268	3081
212	2278	3069
213	2288	3057
214	2299	3047
215	2309	3036
216	2319	3024
217	2329	3013
218	2340	3003
219	2350	2991
220	2360	2980
221	2369	2967
222	2380	2956
223	2389	2944
224	2400	2933
225	2410	2922
226	2420	2910
227	2429	2898
228	2439	2886
229	2449	2875
230	2460	2865
231	2471	2854
232	2480	2842
233	2490	2831
234	2502	2821
235	2513	2811
236	2523	2800
237	2534	2790
238	2544	2778
239	2555	2768
240	2566	2757
241	2576	2747
242	2586	2735
243	2596	2724
244	2606	2713
245	2616	2701
246	2627	2691
247	2636	2678
248	2646	2667
249	2656	2656
250	2666	2645
251	2676	2633
252	2685	2622
253	2696	2611
254	2706	2600
255	2716	2589
256	2727	2579
257	2738	2568
258	2749	2558
259	2760	2547
260	2770	2537
261	2780	2525
262	2790	2514
263	2800	2503
264	2810	2492
265	2820	2481
266	2831	2471
267	2842	2460
268	2853	2450
269	2863	2439
270	2874	2428
271	2883	2417
272	2894	2406
273	2904	2395
274	2915	2385
275	2926	2374
276	2937	2364
277	2948	2354
278	2959	2343
279	2969	2333
280	2979	2322
281	2989	2311
282	3000	2300
283	3011	2290
284	3020	2278
285	3032	2268
286	3042	2258
287	3053	2247
288	3064	2237
289	3074	2226
290	3084	2215
291	3093	2203
292	3104	2192
293	3114	2182
294	3126	2172
295	3137	2162
296	3148	2151
297	3159	2141
298	3169	2130
299	3179	2119
300	3189	2108
301	3199	2097
302	3208	2086
303	3218	2074
304	3228	2064
305	3238	2053
306	3248	2042
307	3258	2031
308	3269	2021
309	3279	2010
310	3288	1998
311	3299	1987
312	3309	1976
313	3319	1966
314	3329	1955
315	3340	1945
316	3350	1934
317	3361	1923
318	3371	1912
319	3382	1902
320	3392	1891
321	3404	1881
322	3415	1871
323	3425	1860
324	3435	1850
325	3445	1839
326	3456	1828
327	3466	1817
328	3476	1807
329	3485	1795
330	3496	1785
331	3506	1774
332	3517	1764
333	3527	1753
334	3537	1742
335	3547	1731
